epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.092,0.62038,1.05342,1.00556,0.97381,0.94249,0.97558,0.9296,0.30877,0.29379,0.78008,0.000237577,0.000237577,0.000237577
2,313.179,0.4777,0.44378,0.92444,0.96002,0.92208,0.96895,0.92301,0.30242,0.33607,0.78719,0.000456744,0.000456744,0.000456744
3,470.398,0.46954,0.41659,0.92133,0.98688,0.95535,0.98452,0.94815,0.28072,0.24857,0.77479,0.000657061,0.000657061,0.000657061
4,625.034,0.4503,0.38728,0.91266,0.98388,0.95677,0.98427,0.95534,0.25208,0.23648,0.76845,0.000629177,0.000629177,0.000629177
5,777.863,0.43013,0.35957,0.90699,0.98931,0.95903,0.98608,0.9597,0.24583,0.21566,0.76972,0.000600902,0.000600902,0.000600902
6,926.786,0.41656,0.34293,0.90075,0.98753,0.95922,0.98653,0.96313,0.23527,0.21166,0.76875,0.000572628,0.000572628,0.000572628
7,1074.47,0.4016,0.32446,0.89761,0.98992,0.96452,0.98855,0.96888,0.21807,0.19272,0.76429,0.000544354,0.000544354,0.000544354
8,1230.84,0.38905,0.31055,0.89052,0.99141,0.96313,0.98835,0.96745,0.22065,0.19039,0.76046,0.000516079,0.000516079,0.000516079
9,1385.22,0.37962,0.30032,0.88757,0.99164,0.96422,0.98886,0.97103,0.20595,0.18185,0.75922,0.000487805,0.000487805,0.000487805
10,1538.96,0.3715,0.2928,0.88449,0.99268,0.96679,0.98893,0.97161,0.20257,0.17304,0.75504,0.00045953,0.00045953,0.00045953
11,1686.94,0.3622,0.28491,0.87943,0.99247,0.9661,0.98938,0.97309,0.19903,0.1691,0.74995,0.000431256,0.000431256,0.000431256
12,1835.89,0.35523,0.27728,0.87974,0.99141,0.96712,0.98933,0.97336,0.20152,0.17526,0.767,0.000402982,0.000402982,0.000402982
13,1984.37,0.34933,0.2701,0.87759,0.99389,0.96614,0.99046,0.97579,0.19326,0.15935,0.75818,0.000374707,0.000374707,0.000374707
14,2131.05,0.3428,0.26427,0.8759,0.99096,0.96918,0.99006,0.97437,0.18946,0.15966,0.75537,0.000346433,0.000346433,0.000346433
15,2281.45,0.33455,0.25481,0.87281,0.9925,0.96875,0.99005,0.9753,0.18658,0.16073,0.76042,0.000318158,0.000318158,0.000318158
16,2450.33,0.25599,0.19143,0.81881,0.99177,0.96697,0.98991,0.97401,0.18948,0.16608,0.75724,0.000289884,0.000289884,0.000289884
17,2598.35,0.24839,0.18504,0.81857,0.99262,0.96997,0.99072,0.97696,0.18092,0.15088,0.74883,0.00026161,0.00026161,0.00026161
18,2749.13,0.24017,0.17775,0.81561,0.99245,0.9715,0.9912,0.97693,0.1763,0.14819,0.75291,0.000233335,0.000233335,0.000233335
19,2897.33,0.23747,0.17313,0.81412,0.99312,0.97229,0.99155,0.97905,0.17244,0.14166,0.75375,0.000205061,0.000205061,0.000205061
20,3041.21,0.23137,0.16683,0.81116,0.99345,0.97201,0.99122,0.97941,0.16812,0.13914,0.74998,0.000176786,0.000176786,0.000176786
21,3185.94,0.225,0.15938,0.80927,0.99459,0.97247,0.9914,0.98083,0.16318,0.13327,0.7502,0.000148512,0.000148512,0.000148512
22,3341.22,0.22164,0.15692,0.81084,0.99368,0.97349,0.99182,0.98128,0.16359,0.13316,0.75417,0.000120238,0.000120238,0.000120238
23,3496.48,0.21631,0.15209,0.80979,0.99449,0.9742,0.99218,0.98235,0.15855,0.12631,0.74908,9.19632e-05,9.19632e-05,9.19632e-05
24,3641.52,0.21179,0.14722,0.80753,0.99474,0.97347,0.9922,0.98216,0.15793,0.12399,0.74941,6.36888e-05,6.36888e-05,6.36888e-05
25,3784.22,0.20699,0.14312,0.8061,0.99459,0.9744,0.99205,0.98205,0.15432,0.12259,0.75052,3.54144e-05,3.54144e-05,3.54144e-05
